iter	Passed	Remaining
0	75	30258
1	149	29703
2	221	29342
3	299	29629
4	380	30033
5	460	30263
6	535	30046
7	603	29563
8	672	29205
9	744	29051
10	817	28907
11	892	28854
12	967	28795
13	1052	29029
14	1131	29039
15	1208	29011
16	1281	28863
17	1356	28794
18	1435	28779
19	1515	28788
20	1599	28861
21	1675	28787
22	1759	28840
23	1839	28814
24	1911	28678
25	1981	28510
26	2057	28423
27	2131	28314
28	2200	28147
29	2273	28043
30	2347	27941
31	2422	27858
32	2502	27832
33	2581	27787
34	2653	27672
35	2723	27536
36	2793	27409
37	2864	27287
38	2941	27229
39	3010	27098
40	3082	26989
41	3159	26930
42	3230	26823
43	3303	26728
44	3376	26636
45	3453	26580
46	3526	26487
47	3598	26392
48	3674	26318
49	3746	26225
50	3816	26113
51	3883	25989
52	3953	25882
53	4023	25781
54	4099	25712
55	4167	25602
56	4240	25516
57	4310	25415
58	4383	25333
59	4457	25258
60	4534	25199
61	4603	25093
62	4674	25004
63	4748	24931
64	4816	24823
65	4885	24725
66	4959	24651
67	5035	24583
68	5106	24497
69	5180	24422
70	5252	24337
71	5326	24264
72	5400	24192
73	5470	24098
74	5538	24000
75	5619	23957
76	5691	23873
77	5765	23802
78	5832	23701
79	5899	23596
80	5967	23501
81	6036	23410
82	6113	23347
83	6177	23239
84	6255	23182
85	6334	23127
86	6408	23055
87	6475	22959
88	6539	22852
89	6609	22766
90	6674	22663
91	6750	22599
92	6825	22530
93	6899	22459
94	6965	22363
95	7041	22297
96	7112	22216
97	7186	22147
98	7259	22072
99	7327	21982
100	7400	21909
101	7473	21835
102	7548	21766
103	7615	21675
104	7687	21599
105	7758	21519
106	7832	21447
107	7903	21367
108	7972	21284
109	8048	21218
110	8110	21117
111	8184	21045
112	8257	20973
113	8327	20892
114	8403	20824
115	8477	20755
116	8547	20675
117	8628	20621
118	8698	20539
119	8770	20463
120	8835	20372
121	8897	20273
122	8971	20203
123	9034	20108
124	9102	20026
125	9174	19951
126	9250	19884
127	9324	19814
128	9390	19727
129	9462	19653
130	9536	19581
131	9604	19501
132	9673	19419
133	9742	19338
134	9808	19252
135	9878	19175
136	9954	19109
137	10029	19040
138	10094	18954
139	10165	18878
140	10236	18804
141	10304	18722
142	10373	18643
143	10447	18573
144	10514	18490
145	10588	18421
146	10653	18335
147	10717	18248
148	10784	18167
149	10858	18097
150	10927	18020
151	10998	17944
152	11074	17878
153	11140	17796
154	11211	17720
155	11289	17658
156	11363	17588
157	11436	17516
158	11505	17439
159	11578	17367
160	11649	17293
161	11722	17221
162	11795	17149
163	11866	17075
164	11932	16994
165	12002	16918
166	12070	16840
167	12142	16768
168	12218	16701
169	12286	16623
170	12359	16551
171	12428	16474
172	12501	16403
173	12571	16328
174	12642	16254
175	12715	16183
176	12786	16109
177	12857	16035
178	12924	15957
179	13004	15893
180	13080	15826
181	13155	15757
182	13229	15687
183	13305	15619
184	13372	15541
185	13445	15469
186	13516	15396
187	13589	15324
188	13659	15249
189	13707	15150
190	13779	15077
191	13851	15005
192	13921	14931
193	13995	14861
194	14065	14786
195	14145	14722
196	14214	14647
197	14285	14573
198	14351	14495
199	14432	14432
200	14503	14359
201	14575	14286
202	14646	14213
203	14724	14146
204	14795	14073
205	14865	13999
206	14939	13929
207	15008	13854
208	15075	13777
209	15146	13703
210	15219	13632
211	15288	13557
212	15356	13481
213	15431	13412
214	15503	13340
215	15586	13277
216	15666	13211
217	15737	13138
218	15803	13061
219	15882	12994
220	15950	12919
221	16019	12844
222	16093	12774
223	16163	12700
224	16232	12625
225	16304	12553
226	16376	12481
227	16446	12407
228	16518	12334
229	16586	12259
230	16662	12190
231	16732	12116
232	16805	12045
233	16874	11970
234	16948	11900
235	17015	11824
236	17088	11752
237	17162	11681
238	17226	11604
239	17299	11533
240	17369	11459
241	17441	11387
242	17517	11317
243	17589	11245
244	17653	11168
245	17720	11093
246	17788	11018
247	17858	10945
248	17923	10869
249	17994	10796
250	18067	10725
251	18133	10649
252	18199	10574
253	18269	10501
254	18334	10425
255	18406	10353
256	18477	10281
257	18542	10205
258	18604	10128
259	18675	10056
260	18742	9981
261	18815	9910
262	18881	9835
263	18947	9761
264	19018	9688
265	19089	9616
266	19162	9545
267	19241	9476
268	19310	9404
269	19377	9329
270	19443	9255
271	19519	9185
272	19597	9116
273	19662	9041
274	19735	8970
275	19800	8895
276	19869	8822
277	19940	8750
278	20008	8677
279	20081	8606
280	20143	8530
281	20215	8458
282	20281	8384
283	20356	8314
284	20428	8242
285	20497	8170
286	20565	8097
287	20628	8022
288	20701	7951
289	20770	7878
290	20838	7805
291	20911	7734
292	20989	7664
293	21056	7591
294	21126	7519
295	21200	7448
296	21276	7378
297	21354	7309
298	21422	7236
299	21496	7165
300	21573	7095
301	21640	7022
302	21706	6948
303	21777	6877
304	21846	6804
305	21917	6732
306	21981	6658
307	22050	6586
308	22118	6513
309	22187	6441
310	22254	6368
311	22321	6295
312	22388	6223
313	22462	6152
314	22530	6079
315	22609	6010
316	22681	5938
317	22749	5866
318	22815	5793
319	22884	5721
320	22953	5648
321	23026	5577
322	23099	5506
323	23171	5435
324	23248	5364
325	23310	5291
326	23380	5219
327	23448	5147
328	23515	5074
329	23587	5003
330	23661	4932
331	23730	4860
332	23800	4788
333	23870	4717
334	23943	4645
335	24019	4575
336	24092	4503
337	24158	4431
338	24231	4360
339	24300	4288
340	24371	4216
341	24438	4144
342	24511	4073
343	24583	4002
344	24652	3930
345	24719	3857
346	24791	3786
347	24864	3715
348	24932	3643
349	25004	3572
350	25076	3500
351	25156	3430
352	25222	3358
353	25296	3287
354	25367	3215
355	25440	3144
356	25515	3073
357	25587	3001
358	25657	2930
359	25730	2858
360	25802	2787
361	25882	2716
362	25948	2644
363	26019	2573
364	26087	2501
365	26158	2430
366	26232	2358
367	26300	2287
368	26374	2215
369	26439	2143
370	26518	2072
371	26590	2001
372	26660	1929
373	26733	1858
374	26795	1786
375	26861	1714
376	26931	1643
377	26999	1571
378	27065	1499
379	27142	1428
380	27219	1357
381	27287	1285
382	27353	1214
383	27428	1142
384	27498	1071
385	27569	999
386	27644	928
387	27714	857
388	27787	785
389	27852	714
390	27924	642
391	27996	571
392	28073	500
393	28148	428
394	28214	357
395	28285	285
396	28352	214
397	28421	142
398	28495	71
399	28563	0
